user_id,created_at,company_id,language,activated_at,state
0,2013-01-01,5737,english,2013-01-01,active
3,2013-01-01,2800,german,2013-01-01,active
4,2013-01-01,5110,indian,2013-01-01,active
6,2013-01-01,11699,english,2013-01-01,active
7,2013-01-01,4765,french,2013-01-01,active
8,2013-01-01,2698,french,2013-01-01,active
11,2013-01-01,3745,english,2013-01-01,active
13,2013-01-02,4025,english,2013-01-02,active
15,2013-01-02,4259,english,2013-01-02,active
17,2013-01-02,5025,japanese,2013-01-02,active
19,2013-01-02,326,english,2013-01-02,active
20,2013-01-02,7,italian,2013-01-02,active
21,2013-01-02,2606,english,2013-01-02,active
22,2013-01-02,545,german,2013-01-02,active
27,2013-01-03,6,japanese,2013-01-03,active
30,2013-01-03,4148,english,2013-01-03,active
31,2013-01-03,39,arabic,2013-01-03,active
33,2013-01-03,10768,english,2013-01-03,active
35,2013-01-03,1891,english,2013-01-03,active
36,2013-01-03,2,english,2013-01-03,active
47,2013-01-04,1,indian,2013-01-04,active
49,2013-01-05,8727,spanish,2013-01-05,active
50,2013-01-05,12526,spanish,2013-01-05,active
52,2013-01-06,6,english,2013-01-06,active
54,2013-01-06,2,english,2013-01-06,active
55,2013-01-06,2233,german,2013-01-06,active
59,2013-01-07,2296,chinese,2013-01-07,active
64,2013-01-07,9229,english,2013-01-07,active
66,2013-01-07,7927,french,2013-01-07,active
67,2013-01-07,10818,english,2013-01-07,active
78,2013-01-08,1,english,2013-01-08,active
80,2013-01-08,925,spanish,2013-01-08,active
83,2013-01-09,2343,english,2013-01-09,active
84,2013-01-09,9501,english,2013-01-09,active
86,2013-01-09,1,indian,2013-01-09,active
87,2013-01-09,95,english,2013-01-09,active
90,2013-01-09,789,english,2013-01-09,active
92,2013-01-09,1,english,2013-01-09,active
97,2013-01-10,7578,french,2013-01-10,active
98,2013-01-10,9136,portugese,2013-01-10,active
99,2013-01-10,7,english,2013-01-10,active
101,2013-01-10,5343,french,2013-01-10,active
103,2013-01-10,44,portugese,2013-01-10,active
104,2013-01-10,4936,english,2013-01-10,active
105,2013-01-11,12000,english,2013-01-11,active
106,2013-01-11,12473,italian,2013-01-11,active
107,2013-01-11,12411,english,2013-01-11,active
108,2013-01-11,8,japanese,2013-01-11,active
111,2013-01-11,2,arabic,2013-01-11,active
113,2013-01-11,457,german,2013-01-11,active
117,2013-01-12,8636,japanese,2013-01-12,active
118,2013-01-12,1,english,2013-01-12,active
119,2013-01-12,5,english,2013-01-12,active
120,2013-01-13,376,japanese,2013-01-13,active
121,2013-01-13,9770,chinese,2013-01-13,active
123,2013-01-14,219,spanish,2013-01-14,active
124,2013-01-14,9039,german,2013-01-14,active
128,2013-01-14,2470,russian,2013-01-14,active
129,2013-01-14,6,spanish,2013-01-14,active
130,2013-01-14,2,german,2013-01-14,active
132,2013-01-14,23,portugese,2013-01-14,active
133,2013-01-14,101,french,2013-01-14,active
134,2013-01-14,1914,japanese,2013-01-14,active
136,2013-01-15,11080,spanish,2013-01-15,active
137,2013-01-15,2837,english,2013-01-15,active
138,2013-01-15,2541,indian,2013-01-15,active
139,2013-01-15,467,japanese,2013-01-15,active
140,2013-01-15,11088,japanese,2013-01-15,active
142,2013-01-15,2861,english,2013-01-15,active
143,2013-01-15,2,indian,2013-01-15,active
144,2013-01-15,36,english,2013-01-15,active
145,2013-01-15,1118,english,2013-01-15,active
149,2013-01-15,2872,english,2013-01-15,active
150,2013-01-15,908,english,2013-01-15,active
151,2013-01-16,511,english,2013-01-16,active
153,2013-01-16,1256,english,2013-01-16,active
154,2013-01-16,5385,english,2013-01-16,active
155,2013-01-16,2889,english,2013-01-16,active
156,2013-01-16,1210,english,2013-01-16,active
159,2013-01-16,5849,english,2013-01-16,active
163,2013-01-16,1092,arabic,2013-01-16,active
165,2013-01-17,6230,spanish,2013-01-17,active
166,2013-01-17,12205,english,2013-01-17,active
167,2013-01-17,1214,english,2013-01-17,active
170,2013-01-17,11,english,2013-01-17,active
171,2013-01-17,13001,korean,2013-01-17,active
172,2013-01-17,4196,chinese,2013-01-17,active
173,2013-01-17,11339,french,2013-01-17,active
175,2013-01-17,3717,french,2013-01-17,active
177,2013-01-17,11952,italian,2013-01-17,active
178,2013-01-18,2730,spanish,2013-01-18,active
179,2013-01-18,2976,portugese,2013-01-18,active
181,2013-01-18,2882,spanish,2013-01-18,active
182,2013-01-18,2596,indian,2013-01-18,active
184,2013-01-18,6426,french,2013-01-18,active
185,2013-01-18,3109,english,2013-01-18,active
186,2013-01-18,753,chinese,2013-01-18,active
188,2013-01-18,130,japanese,2013-01-18,active
190,2013-01-18,12823,english,2013-01-18,active
191,2013-01-18,10553,english,2013-01-18,active
194,2013-01-19,36,english,2013-01-19,active
196,2013-01-20,1346,japanese,2013-01-20,active
201,2013-01-21,8624,english,2013-01-21,active
203,2013-01-21,11741,japanese,2013-01-21,active
206,2013-01-21,5730,english,2013-01-21,active
208,2013-01-21,7314,french,2013-01-21,active
209,2013-01-21,14,english,2013-01-21,active
211,2013-01-21,748,spanish,2013-01-21,active
212,2013-01-21,4582,indian,2013-01-21,active
214,2013-01-22,44,russian,2013-01-22,active
215,2013-01-22,36,english,2013-01-22,active
217,2013-01-22,4001,english,2013-01-22,active
220,2013-01-22,7,english,2013-01-22,active
221,2013-01-22,2234,chinese,2013-01-22,active
226,2013-01-23,6489,english,2013-01-23,active
227,2013-01-23,6,english,2013-01-23,active
228,2013-01-23,5155,english,2013-01-23,active
230,2013-01-23,5386,french,2013-01-23,active
232,2013-01-23,9781,spanish,2013-01-23,active
235,2013-01-23,893,indian,2013-01-23,active
239,2013-01-23,9059,japanese,2013-01-23,active
243,2013-01-24,4181,spanish,2013-01-24,active
244,2013-01-24,4199,english,2013-01-24,active
246,2013-01-24,5,german,2013-01-24,active
247,2013-01-24,3977,chinese,2013-01-24,active
253,2013-01-24,11615,english,2013-01-24,active
254,2013-01-25,3715,arabic,2013-01-25,active
259,2013-01-25,5165,english,2013-01-25,active
260,2013-01-25,609,chinese,2013-01-25,active
261,2013-01-25,1103,english,2013-01-25,active
262,2013-01-25,284,italian,2013-01-25,active
264,2013-01-25,56,japanese,2013-01-25,active
266,2013-01-25,8842,english,2013-01-25,active
268,2013-01-25,193,english,2013-01-25,active
270,2013-01-26,11925,french,2013-01-26,active
271,2013-01-26,39,english,2013-01-26,active
272,2013-01-26,10758,chinese,2013-01-26,active
276,2013-01-27,2225,italian,2013-01-27,active
278,2013-01-28,5,english,2013-01-28,active
281,2013-01-28,175,english,2013-01-28,active
285,2013-01-28,11340,german,2013-01-28,active
286,2013-01-28,12299,japanese,2013-01-28,active
287,2013-01-28,4590,english,2013-01-28,active
288,2013-01-28,8264,russian,2013-01-28,active
289,2013-01-28,150,german,2013-01-28,active
297,2013-01-29,9077,indian,2013-01-29,active
